search_term|displayLink|snippet|link|title|number
Adam Gamoran+U. Wisconsin-Madison|news.wisc.edu|Jun 10, 2011 ... Adam Gamoran, director of the Wisconsin Center for Education Research at UW–Madison. Richard Hichwa, senior associate vice president for ...|https://news.wisc.edu/four-finalists-identified-for-top-uw-madison-research-job/|Four finalists identified for top UW-Madison research job|6
Adam Gamoran+U. Wisconsin-Madison|news.education.wisc.edu|As Adam Gamoran's run as director of the Wisconsin Center for Education Research ... If you let that core intellectual strength go, it's very, very difficult to recapture. ... Gamoran joined the UW–Madison faculty as a member of the Sociology ...|https://news.education.wisc.edu/news-publications/learning-connections/archive/2013-spring-summer/news-from-the-wisconsin-center-for-education-research|News from the Wisconsin Center for Education Research|7
Adam Gamoran+U. Wisconsin-Madison|news.wisc.edu|Jan 26, 2011 ... On March 29, Adam Gamoran, UW–Madison professor of sociology and educational policy studies and director of the Wisconsin Center on ...|https://news.wisc.edu/education-historian-diane-ravitch-to-speak/|Education historian Diane Ravitch to speak|8
Adam Gamoran+U. Wisconsin-Madison|scholar.google.com|Adam Gamoran. University of Wisconsin-Madison. Verified email at ssc.wisc.edu ... AN Applebee, JA Langer, M Nystrand, A Gamoran. American Educational ...|http://scholar.google.com/citations?user=pGk5WGgAAAAJ&hl=en|Adam Gamoran - Google Scholar Citations|9
Adam Gamoran+U. Wisconsin-Madison|ppc.uiowa.edu|Feb 26, 2013 ... Dr. Adam Gamoran, Professor of Sociology and Educational Policy Studies, University of Wisconsin, Madison, presented Casual Effects of ...|http://ppc.uiowa.edu/news/2013/02/26/dr-adam-gamoran-lecture-causal-effects-social-capitol-child-outcomes|Dr. Adam Gamoran Lecture: Causal Effects of Social Capitol on ...|10
Alfredo Artiles+Arizona State|isearch.asu.edu|Alfredo J. Artiles is dean of the Graduate College and the Ryan C. Harris Professor of Special Education at Arizona State University. His scholarship focuses on ...|https://isearch.asu.edu/profile/741711|Alfredo Artiles  iSearch|1
Alfredo Artiles+Arizona State|asunow.asu.edu|Feb 12, 2016 ... Professor Alfredo Artiles has made a career of improving education and opening new avenues in learning for students across cultures as the ...|https://asunow.asu.edu/20160212-alfredo-artiles-named-asu-dean-graduate-education|Alfredo Artiles named ASU dean of Graduate Education  ASU Now ...|2
Alfredo Artiles+Arizona State|www.linkedin.com|Alfredo J. Artiles. Dean of the Graduate College and Ryan C. Harris Professor of Special Education. Arizona State UniversityUniversity of Virginia. Tempe ...|https://www.linkedin.com/in/alfredo-j-artiles-9a164476|Alfredo J. Artiles - Arizona State University - LinkedIn|3
Alfredo Artiles+Arizona State|asunow.asu.edu|Oct 22, 2019 ... One of the foremost Swedish universities recognized Arizona State University Graduate College Dean Alfredo J. Artiles with an honorary ...|https://asunow.asu.edu/20191022-university-gothenburg-honors-dean-alfredo-j-artiles-contributions-equity-educational|University of Gothenburg honors Dean Alfredo J. Artiles for ...|4
Alfredo Artiles+Arizona State|asu.academia.edu|ALFREDO J. ARTILES Arizona State University Graduate College 1120 S. Cady Mall, Suite 285 MC: 1003 Tempe, AZ 85287-1003 alfredo.artiles@asu.edu ...|http://asu.academia.edu/AlfredoArtiles/CurriculumVitae|Alfredo J. Artiles  Arizona State University - Academia.edu|5
Alfredo Artiles+Arizona State|asu.pure.elsevier.com|Fingerprint Dive into the research topics where Alfredo Artiles is active. These topic labels come from the works of this person. Together they form a unique ...|https://asu.pure.elsevier.com/en/persons/alfredo-artiles|Alfredo Artiles — Arizona State University|6
Alfredo Artiles+Arizona State|asu.academia.edu|Alfredo J. Artiles, Arizona State University, Dean, Graduate Education Department, Department Member. Studies Educational Equity and Justice, Intersectionality ...|https://asu.academia.edu/AlfredoArtiles|Alfredo J. Artiles  Arizona State University - Academia.edu|7
Alfredo Artiles+Arizona State|epaa.asu.edu|Alfredo J. Artiles is the Ryan C. Harris Professor of Special Education and Associate Dean of Academic Affairs at Arizona State University's Mary Lou Fulton ...|https://epaa.asu.edu/ojs/article/view/1919|Inclusive education's promises and trajectories: Critical notes about ...|8
Alfredo Artiles+Arizona State|www.aera.net|Oct 19, 2017 ... At Arizona State University (ASU), Artiles is the Ryan C. Harris Professor of Special Education and Dean of the Graduate College. He also ...|https://www.aera.net/Newsroom/AERA-Highlights-E-newsletter/-em-AERA-Highlights-em-October-2017/Alfredo-Artiles-Delivers-14th-Annual-em-Brown-em-Lecture|Alfredo Artiles Delivers 14th Annual <em>Brown</em> Lecture|9
Alfredo Artiles+Arizona State|graduate.asu.edu|1) Mentoring philosophy. The notion of mentoring comes from the Indo-European root men (i.e., “to think”), and the term “mentor” appears to be an agent noun of ...|https://graduate.asu.edu/outstanding-faculty-mentors/alfredo-j-artiles|Alfredo J. Artiles - ASU Graduate College - Arizona State University|10
Amy Stuart Wells+Columbia (TC)|www.tc.columbia.edu|On October 3, Amy Stuart Wells, spoke to a packed audience in the President's residence, in her first of three lectures as the Julius and Rosa Sachs Lecturer and ...|https://www.tc.columbia.edu/faculty/asw86/|Wells, Amy S. (asw86)  Teachers College, Columbia University|1
Amy Stuart Wells+Columbia (TC)|www.youtube.com|May 31, 2017 ... It's hard to believe that even in liberal neighborhoods - 63 years after Brown v. Board of Education declared separate public schools for black ...|https://www.youtube.com/watch?v=r24R4JKlRr4|Eldridge & Co.- Amy Stuart Wells: Teachers College, Columbia ...|2
Amy Stuart Wells+Columbia (TC)|www.tc.columbia.edu|Amy Stuart Wells is a Professor of Sociology and Education, and the Coordinator of Policy Studies at Teachers College, Columbia University. Her research and ...|https://www.tc.columbia.edu/suburbanpromise/speakers/amy-stuart-wells/|Amy Stuart Wells  Teachers College Columbia University|3
Amy Stuart Wells+Columbia (TC)|nepc.colorado.edu|Dec 15, 2015 ... Amy Stuart Wells is a Professor of Sociology and Education, and the Coordinator of Policy Studies at Teachers College, Columbia University.|https://nepc.colorado.edu/author/wells-amy-stuart|Amy Stuart Wells  National Education Policy Center|4
Amy Stuart Wells+Columbia (TC)|www.tc.columbia.edu|Mar 27, 2017 ... Amy Stuart Wells, Professor of Sociology & Education at Teachers College, has been voted President-elect of the American Educational ...|https://www.tc.columbia.edu/articles/2017/march/amy-stuart-wells-voted-aera-president-elect/|Amy Stuart Wells Voted AERA President-Elect  Teachers College ...|5
Amy Stuart Wells+Columbia (TC)|www.youtube.com|Sep 13, 2016 ... Ed-Talk: The Potential Benefits of Diverse Schools and Classrooms; Amy Stuart Wells, Teachers College, Columbia University; April 9, 2016; ...|https://www.youtube.com/watch?v=oRPIFFQHE-o|Ed-Talk: The Potential Benefits of Diverse Schools and Classrooms ...|6
Amy Stuart Wells+Columbia (TC)|www.tc.columbia.edu|Mar 6, 2019 ... In an opinion piece for The Hechinger Report, Amy Stuart Wells discusses ... in education and based at Teachers College, Columbia University.|https://www.tc.columbia.edu/articles/2019/march/amy-stuart-wells-urges-white-parents-to-consider-diverse-schools/|Opinion Piece by Amy Stuart Wells Urges White Parents to Consider ...|7
Amy Stuart Wells+Columbia (TC)|www.aera100.net|Amy Stuart Wells is a Professor of Sociology and Education and the co-director of ... Race and Education (CURE) at Teachers College, Columbia University.|http://www.aera100.net/amy-stuart-wells.html|Amy Stuart Wells|8
Amy Stuart Wells+Columbia (TC)|www.aera.net|Mar 27, 2017 ... Amy Stuart Wells, Professor of Sociology and Education at Teachers College, Columbia University, has been voted president-elect of the ...|https://www.aera.net/Newsroom/News-Releases-and-Statements/Amy-Stuart-Wells-Voted-AERA-President-Elect|Amy Stuart Wells Voted AERA President-Elect|9
Amy Stuart Wells+Columbia (TC)|hechingerreport.org|Mar 6, 2019 ... Amy Stuart Wells is the current President of the American ... of Sociology and Education at Teachers College, Columbia University, where she ...|https://hechingerreport.org/author/amy-stuart-wells/|Amy Stuart Wells writes at The Hechinger Report|10
Andrew Ho+Harvard|www.gse.harvard.edu|Andrew Ho is professor of education at the Harvard Graduate School of Education. He is a psychometrician whose research aims to improve the design, use, ...|https://www.gse.harvard.edu/faculty/andrew-ho|Andrew Ho  Harvard Graduate School of Education|1
Andrew Ho+Harvard|scholar.harvard.edu|Andrew Ho is the Charles William Eliot Professor of Education at the Harvard Graduate School of Education. He is a psychometrician whose research aims to ...|https://scholar.harvard.edu/andrewho/home|Andrew Ho - Harvard University|2
Andrew Ho+Harvard|cepr.harvard.edu|Andrew Ho is appointed as a professor of education. He is a psychometrician interested in educational accountability metrics: an intersection between ...|https://cepr.harvard.edu/people/andrew-ho|Andrew Ho  Center for Education Policy Research at Harvard ...|3
Andrew Ho+Harvard|www.youtube.com|Jan 2, 2019 ... Harvard Graduate School of Education Website: http://www.gse.harvard.edu Follow us on Instagram: ...|https://www.youtube.com/watch?v=qKFDLp3IXvM|Andrew Ho  Orientation 2018  Faculty 8x8 - YouTube|4
Andrew Ho+Harvard|twitter.com|The latest Tweets from Andrew Ho (@AndrewDeanHo). Professor, Harvard Graduate School of Education; Chair, HarvardX Research Committee.|https://twitter.com/andrewdeanho?lang=en|Andrew Ho (@AndrewDeanHo)  Twitter|5
Andrew Ho+Harvard|scholar.google.com|Andrew Ho. Professor of Education, Harvard Graduate School of Education. Verified ... A Ho, J Reich, S Nesterko, D Seaton, T Mullaney, J Waldo, I Chuang.|http://scholar.google.com/citations?user=oxiFUrEAAAAJ&hl=en|Andrew Ho - Google Scholar Citations|6
Andrew Ho+Harvard|news.harvard.edu|Aug 28, 2015 ... As a result, we don't just have many learners, but incredible diversity and asynchronicity, said Andrew Ho, a professor at the Harvard Graduate ...|https://news.harvard.edu/gazette/story/2015/08/the-maturing-of-moocs/|The maturing of MOOCs – Harvard Gazette|7
Andrew Ho+Harvard|tea.texas.gov|Andrew Ho, Harvard Graduate School of Education. Invited Testimony. Texas Commission on Next Generation Assessments and Accountability. Austin, Texas ...|https://tea.texas.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=25769825326&libID=25769825422|Design principles for assessment-based accountability systems|8
Andrew Ho+Harvard|www.nagb.gov|Andrew Ho is a professor at the Harvard Graduate School of Education, where he has taught since 2010. At Harvard University, Dr. Ho conducts psychometric ...|https://www.nagb.gov/governing-board/board-members/andrew_ho.html|Andrew Ho|9
Andrew Ho+Harvard|www.thecrimson.com|Sep 26, 2013 ... Andrew Ho, an associate professor at the Harvard Graduate School of Education whose research has focused on measuring student and ...|https://www.thecrimson.com/admissions/image/2013/9/26/andrew-ho-courtesy-photo/|Andrew Ho  Admissions  The Harvard Crimson|10
Andy Hargreaves+Boston College|www.bc.edu|Andy Hargreaves is Research Professor at Boston College, Visiting Professor at the University of Ottawa, Distinguished Visiting Professor at Hong Kong ...|https://www.bc.edu/bc-web/schools/lynch-school/faculty-research/faculty-directory/andy-hargreaves.html|Andy Hargreaves - Boston College|1
Andy Hargreaves+Boston College|www.andyhargreaves.com|Andy Hargreaves is a researcher, writer, speaker, consultant and policy adviser. He is is Research Professor at Boston College, Visiting Professor at the ...|http://www.andyhargreaves.com/|ANDY HARGREAVES - Andy Hargreaves|2
Andy Hargreaves+Boston College|www.bc.edu|Jan 23, 2018 ... Thomas More Brennan Professor Andy Hargreaves is a renowned international expert on education reform. Nation, World & Society / Education - ...|https://www.bc.edu/bc-web/bcnews/nation-world-society/education/hargreaves-retirement.html|BC Lynch School Prof, International Expert on Education Reform ...|3
Andy Hargreaves+Boston College|en.wikipedia.org|Andrew (Andy) Hargreaves (born 13 February 1951) was the Thomas More Brennan Chair in Education at the Lynch School of Education at Boston College until ...|https://en.wikipedia.org/wiki/Andy_Hargreaves_(academic)|Andy Hargreaves (academic) - Wikipedia|4
Andy Hargreaves+Boston College|www.bc.edu|Oct 2, 2014 ... Andy Hargreaves. Email · Personal Website. Campion Hall Room 110. 617.552.0680. EDUCATION. Ph.D. University of Leeds Postgraduate ...|https://www.bc.edu/research/csteep/faculty_staff/hargreaves.html|CSTEEP - Boston College|5
Andy Hargreaves+Boston College|www.linkedin.com|Andy Hargreaves. Thomas More Brennan Chair at Boston College. Boston CollegeUppsala University. Chestnut Hill, Massachusetts500+ connections.|https://www.linkedin.com/in/hargreavesbc|Andy Hargreaves - Thomas More Brennan Chair - Boston College ...|6
Andy Hargreaves+Boston College|twitter.com|The latest Tweets from Andy Hargreaves (@HargreavesBC). Way to Change. Professor @BostonCollege & @UOttawa. Past President of @icseiglobal. Founder ...|https://twitter.com/hargreavesbc?lang=en|Andy Hargreaves (@HargreavesBC)  Twitter|7
Andy Hargreaves+Boston College|www.researchgate.net|ANDY HARGREAVES of Boston College, USA, Boston (BC)  Read 142 publications  Contact ANDY HARGREAVES.|https://www.researchgate.net/profile/Andy_Hargreaves|ANDY HARGREAVES  Boston College, USA, Boston  BC  Lynch ...|8
Andy Hargreaves+Boston College|www.youtube.com|Apr 29, 2014 ... Andy Hargreaves is the Thomas More Brennan Chair in the Lynch School of Education at Boston College. The mission of the Chair is to ...|https://www.youtube.com/watch?v=w7LQhLX2Wek|Andy Hargreaves - Professional Capital: Transforming Teaching in ...|9
Andy Hargreaves+Boston College|scholar.google.com|Andy Hargreaves. Boston College. Verified email at bc.edu - Homepage ... Teachers College Press, 1234 Amsterdam Avenue, New York, NY 10027., 1996.|http://scholar.google.com/citations?user=80ctEs8AAAAJ&hl=en|Andy Hargreaves - Google Scholar Citations|10
Angela Duckworth+U. Penn|psychology.sas.upenn.edu|Professor Angela Duckworth will be accepting new graduate students for admission for Fall 2020. Selected Publications: Professor Duckworth's publications ...|https://psychology.sas.upenn.edu/people/angela-duckworth|Angela Duckworth - UPenn Psychology - University of Pennsylvania|1
Angela Duckworth+U. Penn|ppc.sas.upenn.edu|Dr. Angela Lee Duckworth is professor of psychology at the University of Pennsylvania. Angela studies non-IQ competencies, including self-control and grit, ...|https://ppc.sas.upenn.edu/people/angela-duckworth|Angela Duckworth  Positive Psychology Center|2
Angela Duckworth+U. Penn|chibe.upenn.edu|She is also the Christopher H. Browne Distinguished Professor of Psychology at the University of Pennsylvania, faculty co-director of the Penn-Wharton Behavior ...|https://chibe.upenn.edu/faculty-members/angela-l-duckworth-phd-ma-msc/|Angela L. Duckworth, PhD, MA, MsC - Center for Health Initiatives ...|3
Angela Duckworth+U. Penn|angeladuckworth.com|Angela Duckworth is a MacArthur “genius” grant winner, researcher, and author ... She is also a professor of psychology at the University of Pennsylvania and in ...|https://angeladuckworth.com/|Angela Duckworth|4
Angela Duckworth+U. Penn|penntoday.upenn.edu|Nov 4, 2019 ... People often ask University of Pennsylvania psychologist Angela Duckworth what predicts success. It's an understandable question, given the ...|https://penntoday.upenn.edu/news/Penn-Angela-Duckworth-looks-beyond-grit-predict-success|What factors predict success?  Penn Today|5
Angela Duckworth+U. Penn|www.thedp.com|Oct 13, 2019 ... Penn Psychology professor Angela Duckworth ... shows you generally learn less when you use a laptop than when you don't,” Duckworth said.|http://www.thedp.com/article/2019/10/angela-duckworth-upenn-psychology-grit-character-labs|Angela Duckworth will teach a new Penn course next spring focused ...|6
Angela Duckworth+U. Penn|www.sas.upenn.edu|Angela Duckworth, PhD. Assistant Professor of Psychology, University of Pennsylvania. Dr. Duckworth studies noncognitive predictors of achievement. In recent ...|https://www.sas.upenn.edu/lps/graduate/mapp/faculty/angela-duckworth|Angela Duckworth, PhD  The College of Liberal and Professional ...|7
Angela Duckworth+U. Penn|penntoday.upenn.edu|Nov 14, 2017 ... There's a reason the phrase, “You can't teach an old dog new tricks” exists within popular vernacular. But Penn researchers Angela Duckworth ...|https://penntoday.upenn.edu/spotlights/quest-lasting-behavior-change-two-researchers-lead-charge|In the quest for lasting behavior change, two researchers lead the ...|8
Angela Duckworth+U. Penn|www.upenn.edu|You could do some retrospective reconstruction, but that is always a dangerous game to play.” When Duckworth was 18 she went to Harvard, where she majored ...|http://www.upenn.edu/gazette/0512/PennGaz0512_feature4.pdf|Penn psychologist Angela Duckworth Gr'06 argues that character ...|9
Angela Duckworth+U. Penn|www.gse.upenn.edu|In her late twenties, Angela left a demanding job as a management consultant to teach math to seventh graders in the New York City public schools. Several ...|https://www.gse.upenn.edu/academics/faculty-directory/duckworth|Angela Duckworth - Penn GSE - University of Pennsylvania|10
Angela Valenzuela+UT Austin|education.utexas.edu|Angela Valenzuela is a professor in both the Educational Policy and Planning Program within the Department of Educational Administration at the University of ...|https://education.utexas.edu/faculty/angela_valenzuela|Angela Valenzuela  College of Education  UT Austin |1
Angela Valenzuela+UT Austin|liberalarts.utexas.edu|The University of Texas at Austin College of Liberal Arts - The University of Texas at Austin ... Angela Valenzuela. Contact. E-mail: valenz@austin.utexas.edu ...|https://liberalarts.utexas.edu/mals/faculty/av2002|Angela Valenzuela|2
Angela Valenzuela+UT Austin|twitter.com|The latest Tweets from Angela Valenzuela (@vlnzl). I am a professor in education policy at the University of Texas at Austin. I also direct the National Latino/a ...|https://twitter.com/vlnzl?lang=en|Angela Valenzuela (@vlnzl)  Twitter|3
Angela Valenzuela+UT Austin|www.youtube.com|Jul 31, 2017 ... ED Talk: Dr. Angela Valenzuela. The College of Education at The University of Texas at Austin. Loading... Unsubscribe from The College of ...|https://www.youtube.com/watch?v=U2wc0-vFHgg|ED Talk: Dr. Angela Valenzuela - YouTube|4
Angela Valenzuela+UT Austin|legacy.lib.utexas.edu|Angela Valenzuela is a professor in both the Educational Policy and Planning ... of Curriculum and Instruction at the University of Texas at Austin where she also ...|https://legacy.lib.utexas.edu/taro/utlac/00450/lac-00450.html|Angela Valenzuela Papers, circa 1990-2000s Preliminary Inventory|5
Angela Valenzuela+UT Austin|incontext.education.utexas.edu|... within the context of our diverse communities. In Context is published by and features the work of the College of Education at The University of Texas at Austin.|https://incontext.education.utexas.edu/ed-talk-dr-angela-valenzuela/|Ed Talk: Dr. Angela Valenzuela - In Context  The College of ...|6
Angela Valenzuela+UT Austin|nepc.colorado.edu|Angela Valenzuela. University of Texas at Austin. Angela Valenzuela is a professor in both the Educational Policy and Planning Program Area within the ...|https://nepc.colorado.edu/author/valenzuela-angela|Angela Valenzuela  National Education Policy Center|7
Angela Valenzuela+UT Austin|experts.utexas.edu|Angela Valenzuela is a professor in both the Educational Policy and Planning ... Department of Educational Administration at the University of Texas at Austin ...|https://experts.utexas.edu/angela_valenzuela|Angela Valenzuela|8
Angela Valenzuela+UT Austin|www.linkedin.com|View Angela Valenzuela's profile on LinkedIn, the world's largest professional community. Angela has 1 ... Associate Professor at University of Texas at Austin.|https://www.linkedin.com/in/angela-valenzuela-8a00b79|Angela Valenzuela - Professor - University of Texas at Austin ...|9
Angela Valenzuela+UT Austin|diversity.utexas.edu|Feb 13, 2020 ... Angela Valenzuela is Professor in both the Cultural Studies in ... and Planning Program at the University of Texas at Austin where she also ...|https://diversity.utexas.edu/projectmales/2020/02/project-males-welcomes-our-first-platica-speaker-of-the-spring-2020-semester/|Project MALES Welcomes our First Plática Speaker of the Spring ...|10
Anna Egalite+North Carolina State|ced.ncsu.edu|Anna J. Egalite is an Assistant Professor in the Department of Educational Leadership, Policy, and Human Development in the College of Education at North ...|https://ced.ncsu.edu/people/amjacob/|Anna Egalite  College of Education  NC State University|1
Anna Egalite+North Carolina State|pioneerinstitute.org|4 days ago ... This week on “The Learning Curve,” Cara and Gerard talk with Dr. Anna Egalite, Assistant Professor at North Carolina State University.|https://pioneerinstitute.org/featured/nc-states-anna-egalite-on-school-choice-in-america-abroad/|NC State's Anna Egalite on School Choice in America & Abroad ...|2
Anna Egalite+North Carolina State|ced.ncsu.edu|Assistant Professor Anna Egalite and Associate Professor DeLeon Gray have been named to NC State's 2019-20 class of University Faculty Scholars.|https://ced.ncsu.edu/news/tag/anna-egalite/|anna egalite  College of Education  NC State University|3
Anna Egalite+North Carolina State|news.ncsu.edu|Oct 5, 2015 ... Anna Egalite, assistant professor of education at NC State, will be speaking about school choice on Tuesday, Oct. 6 in Washington, D.C. at the ...|https://news.ncsu.edu/2015/10/5-questions-egalite/|5 Questions on School Choice With Anna Egalite  NC State News|4
Anna Egalite+North Carolina State|ced.ncsu.edu|Anna Egalite. anna_egalite@ncsu.edu. There were no results found. College of Education. 208 Poe Hall, 2310 Stinson Drive. Raleigh, NC 27695. 919.515.5514.|https://ced.ncsu.edu/organizer/anna-egalite/|Upcoming Events  Anna Egalite  College of Education  NC State ...|5
Anna Egalite+North Carolina State|www.researchgate.net|Anna J. Egalite's 20 research works with 262 citations and 4153 reads, including: Early Adopters: Private School Leaders Respond to the Introduction of ...|https://www.researchgate.net/scientific-contributions/2110833319_Anna_J_Egalite|Anna J. Egalite's research works  North Carolina State University ...|6
Anna Egalite+North Carolina State|scholar.google.com|Anna Jacob Egalite. Assistant Professor, North Carolina State University. Verified email at ncsu.edu ... AJ Egalite, B Kisida, MA Winters. Program on Education ...|http://scholar.google.com/citations?user=laI5gGMAAAAJ&hl=en|Anna Jacob Egalite - Google Scholar Citations|7
Anna Egalite+North Carolina State|news.ncsu.edu|Jun 4, 2018 ... ... says Anna Egalite, an NC State assistant professor of education and lead author of a working paper on the results. “From a policy perspective ...|https://news.ncsu.edu/2018/06/n-c-school-vouchers-academics/|Working Paper Offers Initial Data on Academic Impact of N.C. School ...|8
Anna Egalite+North Carolina State|www.carolinajournal.com|Jun 25, 2018 ... N.C. State University professors Anna Egalite and Stephen Porter find new recipients of Opportunity Scholarships scored significantly higher ...|https://www.carolinajournal.com/news-article/opportunity-scholarship-researchers-shed-light-on-study/|Opportunity Scholarship researchers shed light on study - Carolina ...|9
Anna Egalite+North Carolina State|www.ssrn.com|Feb 29, 2016 ... Anna J. Egalite. North Carolina State University - Department of Educational Leadership, Policy & Human Development. Date Written: February ...|https://www.ssrn.com/abstract=2739783|The Competitive Effects of the Louisiana Scholarship Program On ...|10
Anthony Jack+Harvard|www.gse.harvard.edu|Anthony Abraham Jack (Ph.D., Harvard University, 2016) is a junior fellow at the Harvard Society of Fellows and assistant professor of Education at the Harvard ...|https://www.gse.harvard.edu/faculty/anthony-jack|Anthony A. Jack  Harvard Graduate School of Education|1
Anthony Jack+Harvard|anthonyabrahamjack.com|Anthony Abraham Jack. Sociologist. Professor. First Gen. Keynote. Projects · CV · Contact · Anthony Abraham Jack. Sociologist. Professor. First Gen. Keynote.|https://anthonyabrahamjack.com/|Anthony Abraham Jack|2
Anthony Jack+Harvard|www.gse.harvard.edu|Feb 13, 2019 ... Anthony Jack Harvard sociologist Tony Jack knows what it's like to be a poor student at an elite college in America — and getting in is only the ...|https://www.gse.harvard.edu/news/19/02/harvard-edcast-how-colleges-fail-disadvantaged-students|Anthony Jack on the Privileged Poor  Harvard Graduate School of ...|3
Anthony Jack+Harvard|www.youtube.com|Jun 13, 2019 ... Getting into college for disadvantaged students is only half the battle. Anthony Abraham Jack, Assistant Professor at the Harvard Graduate ...|https://www.youtube.com/watch?v=j7w2Gv7ueOc|On Diversity: Access Ain't Inclusion  Anthony Jack  TEDxCambridge ...|4
Anthony Jack+Harvard|www.nytimes.com|Sep 10, 2019 ... Anthony Abraham Jack, a professor at the Harvard Graduate School of Education. Joshua Rashaad McFadden for The New York Times ...|https://www.nytimes.com/interactive/2019/09/10/magazine/college-inequality.html|I Was a Low-Income College Student. Classes Weren't the Hard Part ...|5
